Player,Scaled Score,
"Graham, Jack",68.74,
"Holmes, Max",68.74,
"Balta, Noah",68.62,
"Silvagni, Jack",68.61,
"Hardwick, Blake",68.51,
"Himmelberg, Elliott",68.48,
"Hill, Bradley",68.42,
"De Koning, Sam",68.38,
"Jiath, Changkuoth",68.36,
"Kennedy, Josh",68.32,
"Larkey, Nick",68.26,
"Jonas, Tom",68.24,
"Greenwood, Hugh",68.24,
"Petty, Harry",68.23,
"Rampe, Dane",68.22,
"Chapman, Heath",68.14,
"Neal-Bullen, Alex",68.10,
"Fisher, Zac",68.04,
"Zerk-Thatcher, Brandon",68.01,
"Pickett, Marlion",67.94,
"Byrne-Jones, Darcy",67.71,
"Brown, Ben",67.67,
"Hately, Jackson",67.61,
"Williams, Bailey",67.53,
"Taberner, Matthew",67.50,
"Florent, Oliver",67.48,
"Quaynor, Isaac",67.39,
"Thilthorpe, Riley",67.39,
"Fiorini, Brayden",67.37,
"Mihocek, Brody",67.35,
"Nash, Conor",67.25,
"OBrien, Lochie",67.23,
"Laverde, Jayden",67.06,
"Hinge, Mitch",66.88,
"Fox, Robbie",66.82,
"Walker, Josh",66.77,
"Sparrow, Tom",66.76,
"Gibcus, Josh",66.75,
"Hayward, Will",66.72,
"Lever, Jake",66.69,
"Frost, Sam",66.59,
"Tarrant, Robbie",66.54,
"Walters, Michael",66.53,
"McInerney, Justin",66.49,
"Melksham, Jake",66.47,
"Idun, Connor",66.38,
"Ash, Lachie",66.35,
"Battle, Josh",66.33,
"Schoenberg, Harry",66.31,
"Murray, Nick",66.31,
"Gray, Robbie",66.21,
"Scott, Bailey",66.17,
"Ross, Jack",66.13,
"McAdam, Shane",66.05,
"Jordon, James",66.04,
"Markov, Oleg",66.01,
"Murphy, Lachlan",65.99,
"Day, Will",65.82,
"Ziebell, Jack",65.81,
"Bowey, Jake",65.75,
"Ward, Josh",65.71,
"Bonner, Riley",65.69,
"Noble, John",65.67,
"Rioli, Willie",65.59,
"Setterfield, Will",65.58,
"ODriscoll, Nathan",65.55,
"Ryan, Liam",65.54,
"Pickett, Kysaiah",65.53,
"Murphy, Nathan",65.36,
"Starcevich, Brandon",65.35,
"Georgiades, Mitch",65.32,
"Gardiner, Darcy",65.31,
"Keath, Alex",65.18,
"Perkins, Archie",65.16,
"Horne-Francis, Jason",65.05,
"Ginnivan, Jack",65.05,
"Taylor, Curtis",65.01,
"Guelfi, Matt",64.91,
"Jones, Zak",64.90,
"Salem, Christian",64.86,
"Pearce, Alex",64.85,
"Rohan, Gary",64.68,
"Casboult, Levi",64.68,
"Frederick, Michael",64.66,
"Hibberd, Michael",64.66,
"Stephens, Dylan",64.64,
"Clurey, Tom",64.58,
"Williams, Bailey",64.55,
"Grimes, Dylan",64.51,
"Henry, Jack",64.47,
"Weightman, Cody",64.46,
"Koschitzke, Jacob",64.30,
"Worpel, James",64.29,
"Lienert, Jarrod",64.28,
"Haynes, Nick",64.26,
"Farrar, Jy",64.24,
"Soligo, Jake",64.23,
"West, Rhylee",64.03,
"Butts, Jordon",63.98,
"Hoskin-Elliott, Will",63.91,
"Holman, Nick",63.76,
"Riccardi, Jake",63.74,
"Sholl, Lachlan",63.64,
"Owies, Matthew",63.55,
"Miers, Gryan",63.47,
"Cottrell, Matthew",63.46,
"Kennedy, Adam",63.42,
"Edwards, Harry",63.33,
"Long, Ben",63.29,
"Webster, Jimmy",63.29,
"Rachele, Josh",63.20,
"Newnes, Jack",63.18,
"Edwards, Shane",63.08,
"Ralphsmith, Hugo",63.02,
"ONeill, Xavier",63.01,
"Lemmens, Sean",62.99,
"Soldo, Ivan",62.95,
"Durham, Sam",62.86,
"McKay, Ben",62.82,
"Scott, Anthony",62.79,
"Naish, Patrick",62.78,
"Plowman, Lachie",62.70,
"Henry, Oliver",62.63,
"Impey, Jarman",62.52,
"Martin, Jack",62.47,
"Colyer, Travis",62.47,
"Jones, Jamaine",62.43,
"Answerth, Noah",62.41,
"Powell, Tom",62.32,
"Spargo, Charlie",62.31,
"Duryea, Taylor",62.30,
"Kelly, Jake",62.28,
"Motlop, Steven",62.28,
"Rivers, Trent",61.91,
"Kolodjashnij, Jake",61.90,
"Waterman, Jake",61.89,
"Milera, Wayne",61.85,
"McCreery, Beau",61.84,
"Paton, Ben",61.82,
"Robinson, Mitch",61.67,
"Rowe, James",61.64,
"McHenry, Ned",61.64,
"Duursma, Xavier",61.56,
"Ugle-Hagan, Jamarra",61.54,
"Butler, Dan",61.32,
"McDonald, Logan",61.29,
"Curtis, Paul",61.21,
"West, Connor",61.12,
"Rotham, Josh",61.00,
"Foley, Luke",60.83,
"Maginness, Finn",60.79,
"OConnor, Mark",60.69,
"Hobbs, Ben",60.67,
"Prior, Jaxon",60.56,
"Nelson, Jackson",60.36,
"Peatling, James",60.34,
"Brown, Luke",60.32,
"Cordy, Zaine",60.29,
"Jones, Chayce",60.26,
"Bruhn, Tanner",60.22,
"Rioli, Maurice",60.03,
"Wanganeen-Milera, Nasiah",59.91,
"Jones, Lachie",59.88,
"Perez, Flynn",59.75,
"Castagna, Jason",59.58,
"Rosas, Malcolm",59.55,
"Hill, Bobby",59.53,
"Macdonald, Connor",59.46,
"Walker, Brandon",59.26,
"Grainger-Barras, Denver",59.08,
"Ah Chee, Callum",58.72,
"Davies, Alex",58.71,
"Durdin, Corey",58.68,
"Keeffe, Lachlan",58.55,
"Kennedy, Josh",58.28,
"Shiels, Liam",58.16,
"Hunt, Jayden",58.00,
"McComb, Robbie",57.90,
"Lloyd, Daniel",57.72,
"Bews, Jed",57.69,
"Parnell, Patrick",57.44,
"Hough, Brady",57.34,
"Windhager, Marcus",57.00,
"McNeil, Lachlan",56.89,
"Tucker, Darcy",56.75,
"Hamill, Will",56.73,
"Petrevski-Seton, Sam",56.52,
"Motlop, Jesse",56.48,
"Clarke, Ryan",56.38,
"Turner, Kayne",56.26,
"Sharp, Jeremy",55.93,
"de Boer, Matt",55.93,
"Mead, Jackson",55.82,
"OHalloran, Xavier",55.54,
"Mahony, Jack",55.30,
"Campbell, Braeden",54.70,
"Banfield, Bailey",54.20,
"Lazzaro, Charlie",51.24,
"Byrnes, Ryan",50.64,
"Bedford, Toby",50.63,
"Brown, Tyler",50.35,
"Ham, Brayden",50.00,
